,asin,data_date,ordered_units
401,B071D7BTTW,2021-01-06,0
402,B071D7BTTW,2021-01-07,3
403,B071D7BTTW,2021-01-08,0
404,B071D7BTTW,2021-01-09,0
405,B071D7BTTW,2021-01-10,0
406,B071D7BTTW,2021-01-11,1
407,B071D7BTTW,2021-01-12,0
408,B071D7BTTW,2021-01-13,0
409,B071D7BTTW,2021-01-14,1
410,B071D7BTTW,2021-01-15,2
411,B071D7BTTW,2021-01-16,0
412,B071D7BTTW,2021-01-17,0
413,B071D7BTTW,2021-01-18,1
414,B071D7BTTW,2021-01-19,1
415,B071D7BTTW,2021-01-20,1
416,B071D7BTTW,2021-01-21,2
417,B071D7BTTW,2021-01-22,1
418,B071D7BTTW,2021-01-23,0
419,B071D7BTTW,2021-01-24,1
420,B071D7BTTW,2021-01-25,1
421,B071D7BTTW,2021-01-26,1
422,B071D7BTTW,2021-01-28,0
423,B071D7BTTW,2021-01-29,2
424,B071D7BTTW,2021-01-30,0
425,B071D7BTTW,2021-02-02,0
426,B071D7BTTW,2021-02-04,2
427,B071D7BTTW,2021-02-05,0
428,B071D7BTTW,2021-02-06,0
429,B071D7BTTW,2021-02-07,1
430,B071D7BTTW,2021-02-08,0
431,B071D7BTTW,2021-02-09,1
432,B071D7BTTW,2021-02-10,-1
433,B071D7BTTW,2021-02-11,0
434,B071D7BTTW,2021-02-12,0
435,B071D7BTTW,2021-02-13,0
436,B071D7BTTW,2021-02-14,0
437,B071D7BTTW,2021-02-15,0
438,B071D7BTTW,2021-02-16,0
439,B071D7BTTW,2021-02-17,0
440,B071D7BTTW,2021-02-18,0
441,B071D7BTTW,2021-02-19,0
442,B071D7BTTW,2021-02-20,0
443,B071D7BTTW,2021-02-21,1
444,B071D7BTTW,2021-02-22,5
445,B071D7BTTW,2021-02-23,0
446,B071D7BTTW,2021-02-24,0
447,B071D7BTTW,2021-02-25,0
448,B071D7BTTW,2021-02-26,1
449,B071D7BTTW,2021-02-27,0
450,B071D7BTTW,2021-02-28,0
451,B071D7BTTW,2021-03-01,2
452,B071D7BTTW,2021-03-02,2
453,B071D7BTTW,2021-03-03,1
454,B071D7BTTW,2021-03-04,0
455,B071D7BTTW,2021-03-05,0
456,B071D7BTTW,2021-03-06,1
457,B071D7BTTW,2021-03-07,0
458,B071D7BTTW,2021-03-08,0
459,B071D7BTTW,2021-03-10,0
460,B071D7BTTW,2021-03-11,1
461,B071D7BTTW,2021-03-12,1
462,B071D7BTTW,2021-03-13,0
463,B071D7BTTW,2021-03-14,2
464,B071D7BTTW,2021-03-15,1
465,B071D7BTTW,2021-03-16,0
466,B071D7BTTW,2021-03-17,2
467,B071D7BTTW,2021-03-18,0
468,B071D7BTTW,2021-03-19,0
469,B071D7BTTW,2021-03-20,0
470,B071D7BTTW,2021-03-21,0
471,B071D7BTTW,2021-03-24,2
472,B071D7BTTW,2021-03-25,2
473,B071D7BTTW,2021-03-26,0
474,B071D7BTTW,2021-03-27,1
475,B071D7BTTW,2021-03-28,2
476,B071D7BTTW,2021-03-29,1
477,B071D7BTTW,2021-03-30,0
478,B071D7BTTW,2021-03-31,0
479,B071D7BTTW,2021-04-01,0
480,B071D7BTTW,2021-04-02,1
481,B071D7BTTW,2021-04-03,2
482,B071D7BTTW,2021-04-04,1
483,B071D7BTTW,2021-04-05,0
484,B071D7BTTW,2021-04-06,0
485,B071D7BTTW,2021-04-08,1
486,B071D7BTTW,2021-04-09,1
487,B071D7BTTW,2021-04-10,1
488,B071D7BTTW,2021-04-11,0
489,B071D7BTTW,2021-04-12,0
490,B071D7BTTW,2021-04-13,1
491,B071D7BTTW,2021-04-14,1
492,B071D7BTTW,2021-04-15,0
493,B071D7BTTW,2021-04-16,0
494,B071D7BTTW,2021-04-17,0
495,B071D7BTTW,2021-04-18,0
496,B071D7BTTW,2021-04-19,0
497,B071D7BTTW,2021-04-21,0
498,B071D7BTTW,2021-04-23,0
499,B071D7BTTW,2021-04-24,2
500,B071D7BTTW,2021-04-25,0
501,B071D7BTTW,2021-04-26,0
502,B071D7BTTW,2021-04-27,1
503,B071D7BTTW,2021-04-28,0
504,B071D7BTTW,2021-04-29,1
505,B071D7BTTW,2021-04-30,1
506,B071D7BTTW,2021-05-01,1
507,B071D7BTTW,2021-05-02,2
508,B071D7BTTW,2021-05-03,1
509,B071D7BTTW,2021-05-04,1
510,B071D7BTTW,2021-05-05,0
511,B071D7BTTW,2021-05-06,1
512,B071D7BTTW,2021-05-07,0
513,B071D7BTTW,2021-05-08,0
514,B071D7BTTW,2021-05-09,0
515,B071D7BTTW,2021-05-10,0
516,B071D7BTTW,2021-05-11,0
517,B071D7BTTW,2021-05-12,1
